twdataset\ma07721-GW01475-difficult-bsb00101728_00001.jpg,ma07721
twdataset\Ma00131-GW123534_Zuschnitt-easy-GW12534_00040.jpg,ma00131
twdataset\Ma00131-GW123534_Zuschnitt-easy-GW12534_00068.jpg,ma00131
twdataset\Ma00131-GW123534_Zuschnitt-easy-GW12534_00011.jpg,ma00131
twdataset\Ma00131-GW123534_Zuschnitt-easy-GW12534_00058.jpg,ma00131
twdataset\Ma00131-GW123534_Zuschnitt-easy-GW12534_00081.jpg,ma00131
twdataset\Ma00131-GW123534_Zuschnitt-easy-GW12534_00056.jpg,ma00131
twdataset\Ma00131-GW123534_Zuschnitt-easy-GW12534_00022.jpg,ma00131
twdataset\Ma00131-GW123534_Zuschnitt-easy-GW12534_00035.jpg,ma00131
twdataset\Ma00131-GW123534_Zuschnitt-easy-GW12534_00083.jpg,ma00131
twdataset\Ma00131-GW123534_Zuschnitt-easy-GW12534_00039.jpg,ma00131
twdataset\Ma00131-GW123534_Zuschnitt-easy-GW12534_00027.jpg,ma00131
twdataset\Ma00131-GW123534_Zuschnitt-easy-GW12534_00067.jpg,ma00131
twdataset\Ma00131-GW123534_Zuschnitt-easy-GW12534_00017.jpg,ma00131
twdataset\Ma00131-GW123534_Zuschnitt-easy-GW12534_00091a.jpg,ma00131
twdataset\Ma00131-GW123534_Zuschnitt-easy-GW12534_00061.jpg,ma00131
twdataset\Ma00131-GW123534_Zuschnitt-easy-GW12534_00063.jpg,ma00131
twdataset\Ma00131-GW123534_Zuschnitt-easy-GW12534_00013.jpg,ma00131
twdataset\Ma00131-GW123534_Zuschnitt-easy-GW12534_00046a.jpg,ma00131
twdataset\Ma00131-GW123534_Zuschnitt-easy-GW12534_00016.jpg,ma00131
twdataset\Ma00131-GW123534_Zuschnitt-easy-GW12534_00077.jpg,ma00131
twdataset\Ma00131-GW123534_Zuschnitt-easy-GW12534_00090.jpg,ma00131
twdataset\Ma00131-GW123534_Zuschnitt-easy-GW12534_00086.jpg,ma00131
twdataset\Ma00131-GW123534_Zuschnitt-easy-GW12534_00085.jpg,ma00131
twdataset\Ma00131-GW123534_Zuschnitt-easy-GW12534_00049.jpg,ma00131
twdataset\Ma00131-GW123534_Zuschnitt-easy-GW12534_00043.jpg,ma00131
twdataset\Ma00131-GW123534_Zuschnitt-easy-GW12534_00019.jpg,ma00131
twdataset\Ma00131-GW123534_Zuschnitt-easy-GW12534_00028.jpg,ma00131
twdataset\Ma00131-GW123534_Zuschnitt-easy-GW12534_00043a.jpg,ma00131
